Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDV15,1826,OUT045
FDE52,1667,OUT046
NCL17,216,OUT010
NCJ31,3783,OUT045
FDR60,1281,OUT045
NCA18,1835,OUT035
FDS21,1537,OUT027
FDW09,1878,OUT035
FDL26,2795,OUT035
FDS47,1471,OUT018
FDC39,3615,OUT046
FDT51,1575,OUT035
FDK40,4145,OUT035
NCG19,3504,OUT045
FDZ07,863,OUT046
FDF08,2950,OUT027
FDO04,626,OUT013
FDK41,1149,OUT018
FDP15,3652,OUT049
NCD43,1588,OUT018
NCP18,2893,OUT013
FDZ51,1757,OUT046
DRH13,1561,OUT035
FDF38,554,OUT045
NCI43,808,OUT045
FDM38,1494,OUT027
FDS03,884,OUT013
DRJ47,2648,OUT017
FDT50,162,OUT010
FDV02,2761,OUT046
NCG18,1956,OUT017
FDW52,2760,OUT046
FDS40,859,OUT035
FDN31,2969,OUT017
FDA37,1731,OUT045
FDA15,3945,OUT046
FDL39,2773,OUT046
FDJ53,1444,OUT045
FDX22,4048,OUT013
NCZ42,3604,OUT045
FDD56,4736,OUT027
FDD40,3161,OUT017
FDS50,4303,OUT013
NCN14,2468,OUT013
FDT15,2886,OUT013
NCS18,2821,OUT027
NCO26,392,OUT010
FDF58,592,OUT018
NCB19,1731,OUT013
FDH26,2692,OUT017
DRB24,4490,OUT027
FDA49,1438,OUT018
FDB32,1616,OUT045
FDI36,2825,OUT017
NCA17,353,OUT010
FDH22,1889,OUT013
NCM26,2608,OUT018
FDT15,4561,OUT027
FDB16,1170,OUT018
NCP54,2821,OUT027
FDJ36,1515,OUT013
FDO28,1665,OUT045
FDU09,771,OUT013
FDF29,1743,OUT017
FDY08,2677,OUT013
DRJ59,323,OUT018
FDT23,2742,OUT027
FDU15,608,OUT018
FDT47,1789,OUT013
FDI53,392,OUT019
FDR59,3235,OUT018
FDD53,780,OUT035
FDY51,4074,OUT017
FDT04,720,OUT049
FDU51,3252,OUT049
FDG14,2886,OUT035
NCU06,3883,OUT045
DRG25,2676,OUT046
DRH49,1676,OUT035
FDN15,2796,OUT035
FDL43,1302,OUT018
NCT18,3208,OUT049
NCB31,3667,OUT013
FDK57,1662,OUT035
FDY04,392,OUT019
NCP54,1755,OUT046
FDF41,4032,OUT013
FDM01,1474,OUT045
FDW03,1935,OUT045
FDF28,1529,OUT045
FDY37,2868,OUT017
FDQ03,3645,OUT017
FDP51,2774,OUT027
FDJ40,1783,OUT017
FDC32,1529,OUT049
DRI49,2691,OUT027
NCW54,817,OUT017
FDF09,518,OUT017
FDP45,2878,OUT018
DRJ23,2322,OUT018
FDS59,1824,OUT017
FDY08,2598,OUT046
FDX16,2752,OUT049
FDY16,2531,OUT018
FDK32,2815,OUT035
FDQ22,880,OUT013
NCC31,2624,OUT018
FDG58,2741,OUT049
DRF48,2340,OUT013
DRH36,1610,OUT049
NCR30,1589,OUT035
FDB03,626,OUT019
FDZ28,2671,OUT027
FDR35,3064,OUT017
DRD15,5924,OUT027
FDJ33,392,OUT019
FDA56,282,OUT010
FDP56,364,OUT046
NCT30,751,OUT046
FDK15,1783,OUT017
FDH44,2541,OUT018
FDV01,2579,OUT013
DRG03,2705,OUT017
FDG50,2732,OUT027
FDR16,1113,OUT010
FDZ60,1563,OUT046
DRG03,2562,OUT045
FDS56,3380,OUT018
FDU33,734,OUT045
DRD27,1676,OUT035
FDW22,3694,OUT046
DRA24,2685,OUT045
FDF38,660,OUT049
FDX48,2651,OUT013
FDS58,2478,OUT018
FDC32,1385,OUT046
NCQ29,3888,OUT045
DRK39,1373,OUT018
NCS38,1800,OUT017
DRO47,1569,OUT013
DRG27,1476,OUT027
FDC57,4736,OUT027
FDS55,2954,OUT046
NCJ06,1586,OUT018
FDO01,340,OUT019
NCM55,2825,OUT045
FDC52,2738,OUT049
FDQ15,1706,OUT045
NCT30,1504,OUT027
NCR42,1504,OUT027
FDD28,763,OUT035
FDQ34,1755,OUT049
FDZ12,4328,OUT027
DRE13,178,OUT019
NCN07,266,OUT019
FDM28,2923,OUT035
FDI10,2911,OUT017
FDQ25,2994,OUT013
FDA38,18,OUT010
DRI13,3881,OUT049
FDY20,2950,OUT027
NCZ53,2705,OUT035
NCM31,2680,OUT013
DRB01,2691,OUT017
DRF37,3950,OUT046
NCF42,2962,OUT049
FDF16,2414,OUT018
FDB41,760,OUT013
FDR34,4351,OUT013
FDR15,2534,OUT018
NCV42,335,OUT019
FDW51,3655,OUT035
FDU36,1747,OUT017
FDX60,1438,OUT049
FDY03,1662,OUT035
FDW55,3910,OUT045
FDT01,705,OUT010
FDG58,2641,OUT013
FDK21,3963,OUT017
NCS41,335,OUT019
FDS10,2471,OUT045
NCT53,2571,OUT046
FDJ28,2438,OUT018
FDX44,1607,OUT045
FDT20,620,OUT018
FDO44,1762,OUT017
NCX17,2738,OUT049
FDY01,1528,OUT017
FDJ12,5933,OUT027
DRK35,432,OUT018
FDD47,608,OUT019
NCM53,1984,OUT035
FDO45,1824,OUT013
NCM42,454,OUT010
FDE04,2919,OUT046
NCI30,5777,OUT027
FDZ19,2800,OUT013
FDW57,2781,OUT013
FDA25,1539,OUT013
FDT22,784,OUT046
FDP51,1910,OUT013
FDD48,2447,OUT027
FDY39,3189,OUT035
FDO48,647,OUT010
FDD23,4820,OUT027
DRN35,1445,OUT027
FDT01,4084,OUT035
FDC20,-53,OUT010
DRJ35,859,OUT035
FDB32,1782,OUT046
FDL24,3093,OUT046
NCV42,1745,OUT035
FDZ46,1556,OUT046
FDC15,2529,OUT013
FDD08,-123,OUT019
FDY50,1551,OUT049
FDD36,1606,OUT013
FDG57,1724,OUT027
FDL21,602,OUT018
FDN16,2671,OUT027
FDJ09,1514,OUT027
FDS01,403,OUT010
FDV33,3947,OUT017
DRE12,1747,OUT017
FDR07,2249,OUT013
FDP48,955,OUT010
NCB55,1074,OUT035
FDQ08,949,OUT013
FDR34,4543,OUT035
FDO33,2019,OUT046
FDP13,847,OUT045
FDX12,4127,OUT049
NCT06,2948,OUT049
FDR16,658,OUT019
FDE36,3233,OUT046
FDZ36,2847,OUT049
FDV13,1327,OUT045
NCZ17,1093,OUT035
FDU56,2751,OUT045
FDM09,2777,OUT035
FDV02,2837,OUT017
FDS34,1530,OUT018
FDA11,1613,OUT049
FDP09,4075,OUT017
FDB29,2671,OUT027
FDT19,3324,OUT017
DRH15,783,OUT017
FDY38,3883,OUT046
FDF14,4483,OUT027
FDN48,193,OUT010
FDQ12,3886,OUT013
NCJ43,2547,OUT045
FDE17,392,OUT019
FDB05,4576,OUT035
FDH10,1566,OUT045
NCR06,941,OUT017
FDU32,1499,OUT018
FDD56,2877,OUT049
FDO36,2594,OUT018
FDH16,146,OUT010
FDX10,774,OUT018
FDZ37,1868,OUT017
FDU31,646,OUT010
DRC49,2750,OUT049
FDL15,2557,OUT045
FDN32,398,OUT019
DRH59,2837,OUT027
NCU29,2899,OUT049
FDR37,603,OUT019
FDS14,2515,OUT018
FDU02,5924,OUT027
FDJ08,2785,OUT035
NCZ06,3588,OUT045
FDO31,1523,OUT049
FDH31,1464,OUT018
FDS58,2791,OUT017
NCA53,1482,OUT027
FDF50,3100,OUT046
NCW42,3824,OUT049
NCQ17,2955,OUT045
FDK51,3418,OUT018
NCW41,385,OUT010
NCR29,787,OUT017
FDB08,398,OUT019
FDA40,2671,OUT027
FDL14,2496,OUT018
FDB47,3596,OUT046
FDO03,4207,OUT035
DRK13,368,OUT019
FDX13,590,OUT010
FDF52,2742,OUT046
FDT11,2649,OUT013
FDB08,2813,OUT013
FDQ28,2440,OUT018
FDD29,3894,OUT045
NCQ29,5950,OUT027
NCO02,385,OUT013
FDR56,394,OUT010
NCM54,2034,OUT049
FDP51,1962,OUT035
FDT38,1613,OUT013
FDZ20,3534,OUT018
FDJ53,1522,OUT013
FDX13,3932,OUT049
FDP58,3950,OUT035
NCK31,-192,OUT019
FDA35,1324,OUT018
FDV37,2483,OUT018
NCO07,5837,OUT027
FDA20,2748,OUT045
FDZ59,2937,OUT035
NCY17,847,OUT017
FDQ28,2853,OUT035
FDV35,2976,OUT017
FDQ36,796,OUT013
FDD34,2311,OUT018
FDK51,3790,OUT045
FDV31,2837,OUT035
FDR04,1554,OUT035
FDR14,695,OUT049
DRC36,496,OUT010
FDE39,266,OUT019
FDP57,1738,OUT049
FDE57,2702,OUT046
NCN18,1687,OUT046
NCQ05,2277,OUT018
FDW47,1818,OUT035
FDV46,2696,OUT035
NCP29,688,OUT045
FDE09,1499,OUT018
NCU06,5777,OUT027
FDT19,944,OUT010
DRF15,2605,OUT017
DRI51,2700,OUT013
NCX54,1829,OUT013
DRE01,3679,OUT013
NCB07,2649,OUT045
FDU50,1669,OUT035
FDG40,824,OUT035
FDW10,2680,OUT018
FDX51,2749,OUT013
NCP17,789,OUT045
FDP21,3388,OUT035
FDL04,1601,OUT045
FDV23,1388,OUT013
FDF24,1641,OUT046
FDH56,2950,OUT027
FDB51,811,OUT049
FDI58,2852,OUT027
FDR20,590,OUT013
FDC51,1500,OUT018
FDB16,2737,OUT027
FDE40,952,OUT049
NCM17,1011,OUT035
FDU56,2840,OUT035
FDS32,432,OUT019
FDX02,3781,OUT049
FDT39,4561,OUT027
FDE35,828,OUT017
NCI42,609,OUT019
DRL23,1516,OUT046
FDA10,1619,OUT046
FDA11,1531,OUT013
NCM06,2697,OUT046
NCT05,4383,OUT035
NCQ02,543,OUT010
NCY06,2040,OUT049
FDY56,4142,OUT035
FDL02,1967,OUT035
NCI06,3052,OUT035
FDQ14,2662,OUT045
FDQ12,3943,OUT017
FDP36,819,OUT046
FDK21,5925,OUT027
FDO40,2568,OUT045
NCK54,335,OUT019
FDY09,2628,OUT018
NCW30,3763,OUT049
NCC55,1504,OUT027
FDE58,1447,OUT018
FDR39,3008,OUT013
FDU28,2719,OUT049
FDH08,3793,OUT017
FDG35,4105,OUT045
FDG22,901,OUT049
FDC34,3016,OUT035
FDP15,3157,OUT018
FDK34,732,OUT010
FDU45,2045,OUT035
FDQ04,1415,OUT027
FDX22,2881,OUT018
FDB45,1607,OUT017
NCH43,5777,OUT027
DRE60,3721,OUT046
FDD17,5987,OUT027
NCM54,1953,OUT017
NCH55,1643,OUT013
NCT06,2836,OUT017
FDA48,5764,OUT027
FDY58,5925,OUT027
FDO25,3439,OUT045
FDN50,1556,OUT045
FDH35,3431,OUT035
FDK09,3615,OUT045
FDO16,1797,OUT013
FDW11,767,OUT045
FDU47,4440,OUT027
NCQ42,103,OUT010
FDK55,2775,OUT027
FDN08,1822,OUT049
FDT57,3615,OUT045
FDJ12,3398,OUT018
DRL59,906,OUT017
NCN53,908,OUT046
FDO51,89,OUT010
FDK56,2873,OUT017
FDY12,865,OUT035
FDU15,951,OUT035
FDQ19,3570,OUT046
DRF15,2462,OUT045
DRE25,178,OUT019
FDK57,1384,OUT018
FDD33,693,OUT010
FDR34,5947,OUT027
FDU04,1434,OUT045
FDE35,-197,OUT019
NCD31,3055,OUT035
FDJ56,1818,OUT035
NCU53,2517,OUT046
FDD39,4564,OUT035
NCU17,455,OUT019
FDJ20,1672,OUT046
NCW41,2376,OUT018
FDL52,706,OUT035
FDS39,2748,OUT035
DRJ47,2505,OUT045
FDP13,-112,OUT010
DRK39,209,OUT010
FDF28,232,OUT010
FDB09,1569,OUT045
FDM51,1476,OUT046
DRM49,703,OUT018
DRF23,1749,OUT013
DRH01,2784,OUT035
FDH12,2447,OUT027
FDA28,202,OUT019
FDW37,1411,OUT018
FDF02,1579,OUT046
DRL37,583,OUT046
NCF43,2635,OUT046
FDH08,621,OUT010
FDR34,653,OUT019
NCK19,2851,OUT049
NCD55,589,OUT018
FDT27,4009,OUT049
FDQ57,2572,OUT045
FDA47,2745,OUT035
DRG15,1476,OUT027
FDE05,2426,OUT018
FDN46,1758,OUT046
FDX27,2736,OUT027
FDT51,1405,OUT045
FDU33,771,OUT013
FDJ16,1415,OUT027
FDD20,325,OUT019
FDT36,784,OUT049
DRF15,4488,OUT027
FDN52,31,OUT010
FDC22,4565,OUT027
FDX15,2551,OUT045
FDT13,3007,OUT013
FDU04,1571,OUT017
FDU31,559,OUT019
FDW59,2784,OUT027
NCO29,2286,OUT046
FDL15,2737,OUT035
FDI41,2793,OUT049
FDQ48,1496,OUT049
DRI39,807,OUT013
FDI08,3852,OUT013
FDC21,1818,OUT049
FDF58,972,OUT035
FDS08,-31,OUT010
FDE47,1656,OUT045
NCP18,451,OUT019
NCR41,1742,OUT013
FDA27,3585,OUT013
FDA43,2890,OUT035
FDA49,1589,OUT045
NCE55,2455,OUT018
DRM49,1500,OUT027
FDF22,5925,OUT027
FDQ15,1757,OUT018
NCS54,3053,OUT017
NCY05,763,OUT013
FDR45,4426,OUT046
FDK57,1582,OUT049
FDF41,752,OUT010
FDV21,1820,OUT046
FDD51,464,OUT046
FDF33,2040,OUT046
FDA38,3516,OUT046
FDR56,2707,OUT045
NCN41,1703,OUT017
FDC60,2616,OUT027
FDB47,3535,OUT045
DRH01,2747,OUT013
FDW08,1776,OUT046
FDF38,1494,OUT027
FDY32,3220,OUT017
FDG34,1743,OUT049
FDG47,220,OUT019
NCF18,2724,OUT035
FDL39,450,OUT019
NCH55,1797,OUT035
DRJ35,779,OUT049
FDS44,4078,OUT035
DRE01,3566,OUT018
FDY39,2824,OUT013
FDY32,2945,OUT018
FDR33,2853,OUT027
NCP50,1591,OUT049
FDZ47,1392,OUT018
FDU57,2903,OUT049
FDY44,2868,OUT013
DRH59,1652,OUT018
FDB03,5946,OUT027
FDY46,2485,OUT045
FDM39,2440,OUT045
FDY36,1601,OUT035
NCM55,3090,OUT035
FDJ50,-88,OUT010
DRL60,2621,OUT013
NCJ54,3919,OUT049
FDX59,812,OUT017
FDI07,2863,OUT013
DRF51,-41,OUT010
FDM14,1708,OUT017
FDP21,3198,OUT045
FDE40,1097,OUT035
FDE05,2741,OUT035
FDM13,3322,OUT027
FDC34,4565,OUT027
NCI55,1595,OUT018
NCE43,2573,OUT018
FDW58,1447,OUT018
FDG60,3751,OUT045
FDV31,2873,OUT017
FDR47,2746,OUT013
FDM60,-88,OUT019
NCF06,2900,OUT018
NCN26,2821,OUT027
FDQ59,1635,OUT049
FDF09,616,OUT046
NCS06,3690,OUT017
FDT44,1564,OUT046
FDI19,4117,OUT017
FDT22,955,OUT017
NCF54,4524,OUT027
DRG25,2723,OUT045
FDB59,2530,OUT017
FDQ37,3021,OUT017
FDP56,457,OUT035
FDW44,2830,OUT035
FDJ26,326,OUT010
FDU43,3508,OUT018
FDW33,1486,OUT045
NCX53,4338,OUT027
FDN56,606,OUT010
DRF15,2577,OUT049
FDO33,1983,OUT017
FDZ39,188,OUT010
NCJ19,867,OUT017
FDU01,3434,OUT035
FDT12,3776,OUT035
NCM18,599,OUT018
FDP19,1840,OUT017
NCR42,669,OUT049
FDN10,1820,OUT046
FDG44,817,OUT017
FDQ10,2833,OUT046
DRH13,1586,OUT049
FDT52,3969,OUT013
FDM56,1589,OUT045
NCO43,347,OUT010
NCV29,2565,OUT035
NCF06,3667,OUT013
FDO50,1695,OUT035
FDT59,3940,OUT013
FDX40,1415,OUT027
FDE50,3013,OUT017
FDX51,2844,OUT017
NCD30,1595,OUT018
FDK15,1729,OUT013
FDL12,748,OUT045
FDK46,3956,OUT017
DRH49,158,OUT010
FDQ57,2741,OUT046
FDY59,1423,OUT017
FDO09,3161,OUT018
NCG30,1961,OUT035
FDM09,2753,OUT017
NCN17,2765,OUT027
NCS42,1637,OUT013
FDD02,261,OUT019
FDE34,2813,OUT013
FDU38,2737,OUT045
FDB33,2459,OUT046
NCJ29,1683,OUT017
FDZ27,661,OUT035
FDI40,1684,OUT013
FDG22,832,OUT013
FDT51,1548,OUT017
FDF20,2528,OUT018
FDV50,1580,OUT035
FDT02,854,OUT049
DRC49,2710,OUT017
FDF26,2914,OUT049
FDV52,1738,OUT035
FDX59,767,OUT049
FDV25,5330,OUT035
FDW23,1316,OUT027
FDE53,1376,OUT018
FDA19,1927,OUT017
FDH22,1858,OUT046
NCO41,1726,OUT013
FDX12,4229,OUT017
FDF17,2397,OUT013
FDS11,3715,OUT045
FDR51,2857,OUT035
FDT49,204,OUT010
FDC56,1709,OUT013
FDR13,2731,OUT027
FDQ60,1933,OUT035
FDN38,4033,OUT049
NCL29,2579,OUT013
FDO13,5358,OUT027
FDE26,2447,OUT018
FDA31,376,OUT010
FDX14,1747,OUT035
FDA34,3638,OUT045
FDF26,2981,OUT013
FDE38,2424,OUT045
DRI11,1754,OUT046
FDQ60,2616,OUT027
FDL21,1537,OUT027
DRC12,4490,OUT027
FDC47,4027,OUT046
FDE57,2729,OUT045
FDT14,1508,OUT045
NCZ53,2570,OUT046
FDE28,3464,OUT018
FDR19,2871,OUT035
NCF54,451,OUT019
FDZ08,1683,OUT046
NCJ05,2311,OUT018
FDF59,1650,OUT046
NCO05,1937,OUT035
FDW24,527,OUT018
NCX42,2485,OUT018
NCA53,1157,OUT035
FDI45,398,OUT019
FDG46,1959,OUT046
FDM20,744,OUT010
FDW11,-7,OUT010
FDX08,2871,OUT035
NCK17,998,OUT035
FDK32,2493,OUT018
NCA42,2818,OUT035
DRI01,2829,OUT035
NCL55,4000,OUT049
DRE25,1347,OUT018
FDD14,2602,OUT017
FDB10,3748,OUT046
DRN11,2435,OUT035
FDP38,468,OUT018
NCA30,2859,OUT017
FDT15,2944,OUT017
NCP55,637,OUT018
FDF12,2474,OUT035
FDM21,2981,OUT018
FDX56,4306,OUT035
FDF10,2731,OUT017
FDT32,2714,OUT045
FDM51,1162,OUT018
NCR50,2760,OUT018
FDI19,4063,OUT049
FDX21,1604,OUT017
FDR31,2573,OUT035
FDY02,3793,OUT013
NCA29,2746,OUT045
NCX17,3388,OUT046
FDM12,2764,OUT045
FDI53,4462,OUT027
NCU30,3026,OUT049
FDC56,2951,OUT027
FDK27,1508,OUT018
NCK18,2884,OUT017
FDB52,603,OUT019
DRG25,4490,OUT027
FDZ13,856,OUT049
FDB57,559,OUT019
FDR40,1489,OUT046
NCO14,-77,OUT019
NCN19,2741,OUT045
FDQ28,392,OUT019
FDO13,1921,OUT018
FDK48,1357,OUT013
FDU07,2572,OUT018
FDW20,2175,OUT046
FDV12,291,OUT010
FDH24,2494,OUT013
FDV59,3961,OUT049
FDK57,1484,OUT045
FDL16,1415,OUT027
NCQ17,2936,OUT046
FDJ15,2437,OUT018
FDX24,1587,OUT049
FDT47,2087,OUT046
FDT10,948,OUT049
FDZ37,1516,OUT018
FDW43,6495,OUT027
DRN36,1693,OUT017
FDJ14,1684,OUT045
FDA32,3971,OUT013
FDJ38,445,OUT019
FDQ57,2679,OUT017
NCQ41,335,OUT019
FDG56,920,OUT049
DRC13,2689,OUT027
FDV55,2720,OUT035
FDQ49,2357,OUT045
FDE29,-162,OUT010
FDR03,3922,OUT013
FDD45,1671,OUT049
FDN38,680,OUT010
FDT56,709,OUT046
FDT48,3423,OUT045
FDU03,2665,OUT049
FDC56,340,OUT010
NCO43,2737,OUT027
FDQ27,2340,OUT017
FDR03,3721,OUT046
DRH23,125,OUT010
FDG22,818,OUT045
NCJ42,1764,OUT013
FDR24,1635,OUT046
FDW60,2910,OUT035
FDJ08,2497,OUT013
DRL59,624,OUT018
FDG60,569,OUT010
FDW27,2602,OUT017
FDX14,1401,OUT018
FDC20,761,OUT013
NCS29,3442,OUT018
FDJ56,1684,OUT046
FDB20,325,OUT019
FDL28,6009,OUT027
FDW01,2267,OUT018
FDL03,2496,OUT046
FDX22,3949,OUT049
FDJ21,3007,OUT035
FDR31,2490,OUT045
FDG21,4044,OUT035
FDS22,1537,OUT027
FDK08,1883,OUT035
FDE17,2720,OUT018
NCN30,1761,OUT017
FDT50,1683,OUT046
NCX42,2847,OUT049
FDJ12,3985,OUT035
NCA18,2821,OUT027
FDP23,603,OUT019
FDX12,4017,OUT013
FDN40,2033,OUT018
FDV48,1834,OUT035
NCY54,2642,OUT013
FDL16,-121,OUT010
FDR45,3684,OUT018
FDJ52,2652,OUT046
DRG01,1758,OUT017
FDP52,4036,OUT013
FDU58,2770,OUT017
FDL02,1659,OUT045
FDG28,4033,OUT013
FDA19,2000,OUT035
FDW46,1537,OUT027
NCD43,1932,OUT049
DRG39,802,OUT013
NCF55,895,OUT049
FDJ07,1701,OUT046
FDE08,2465,OUT046
FDP56,-123,OUT019
FDT45,744,OUT045
FDF17,2788,OUT018
FDX44,1800,OUT046
FDM28,4427,OUT027
FDI36,2831,OUT049
FDS07,1619,OUT045
FDD36,1448,OUT045
FDW11,827,OUT046
FDN40,2303,OUT049
NCQ18,1999,OUT049
NCQ54,3061,OUT017
NCS42,1656,OUT045
DRH39,-56,OUT010
FDC09,2950,OUT027
FDT08,506,OUT010
FDC08,4046,OUT035
FDT20,887,OUT017
FDS35,1032,OUT035
FDX58,2548,OUT018
FDW58,1910,OUT046
DRD27,1602,OUT046
FDH32,325,OUT019
FDS26,3926,OUT035
FDQ31,1676,OUT046
FDP11,3185,OUT018
FDD58,1619,OUT017
FDM33,3730,OUT045
FDZ16,3011,OUT049
NCS29,701,OUT010
NCM18,-77,OUT019
FDP11,3781,OUT049
NCC42,2705,OUT017
DRM23,2633,OUT046
NCN55,5837,OUT027
FDK46,3809,OUT013
FDR01,3013,OUT046
NCA05,1584,OUT045
NCP43,2749,OUT017
FDR12,468,OUT010
FDQ01,3739,OUT013
FDM13,1501,OUT046
FDQ19,3793,OUT017
FDK56,398,OUT019
NCX06,516,OUT010
FDO56,2950,OUT027
FDU45,1765,OUT045
FDI16,-140,OUT019
FDL32,1788,OUT046
FDA07,1881,OUT046
FDA14,2702,OUT045
FDV46,4531,OUT027
NCO07,4006,OUT035
NCP41,1720,OUT046
FDY60,2429,OUT018
FDN38,3976,OUT017
FDO15,1576,OUT046
FDT60,1663,OUT013
FDA55,4274,OUT035
FDE02,215,OUT010
DRJ39,3784,OUT049
FDV34,1674,OUT035
FDS20,4701,OUT027
FDF02,2732,OUT027
FDW40,2827,OUT017
NCB43,2846,OUT046
FDR58,1553,OUT017
DRJ59,785,OUT035
NCD30,1866,OUT017
FDE14,1728,OUT017
FDC28,1408,OUT018
FDU16,1348,OUT018
NCD19,889,OUT035
FDU21,595,OUT046
FDV59,5144,OUT027
FDU03,2581,OUT045
FDC33,504,OUT010
NCR42,577,OUT035
DRH59,1907,OUT035
NCM31,2665,OUT035
FDS50,4448,OUT035
FDP39,804,OUT046
FDQ55,1725,OUT013
FDV36,202,OUT019
FDI05,2671,OUT027
FDS45,2852,OUT027
FDA39,557,OUT045
FDC37,139,OUT010
FDJ60,4509,OUT027
DRQ35,2065,OUT046
NCJ06,1586,OUT046
NCY42,2485,OUT018
DRM37,2840,OUT049
FDR14,563,OUT045
FDE51,875,OUT049
FDT33,2568,OUT017
FDR08,1660,OUT013
FDE36,933,OUT010
FDL22,393,OUT019
FDR44,1880,OUT013
FDI56,325,OUT019
FDE47,225,OUT010
FDV27,277,OUT010
FDV10,886,OUT049
FDC40,1558,OUT045
NCX41,3873,OUT013
NCQ38,2737,OUT027
FDV12,2616,OUT027
FDE52,1818,OUT017
FDG20,4736,OUT027
FDV16,1438,OUT027
FDI32,1835,OUT017
FDJ32,871,OUT049
FDN39,2464,OUT018
FDY34,2778,OUT017
FDC14,774,OUT035
FDA55,4366,OUT017
FDZ50,503,OUT010
DRG13,2766,OUT049
FDP01,3715,OUT013
NCG54,2999,OUT017
FDM13,1129,OUT045
NCO18,4524,OUT027
NCW41,2525,OUT013
FDM52,4427,OUT027
NCF55,740,OUT035
FDT09,2228,OUT046
NCM19,1756,OUT035
FDW12,2469,OUT018
FDP15,774,OUT019
FDK36,595,OUT045
FDZ25,3036,OUT035
NCW06,2952,OUT049
FDW60,3129,OUT046
DRC49,2657,OUT013
NCT17,2765,OUT035
NCN06,2641,OUT018
FDC45,2788,OUT013
DRJ47,456,OUT019
NCF06,3227,OUT045
FDE21,314,OUT010
DRG27,740,OUT013
FDW40,2828,OUT049
NCO53,2581,OUT046
FDE23,839,OUT049
FDQ16,1644,OUT046
FDS26,3594,OUT045
FDZ13,-71,OUT010
FDS14,2831,OUT049
FDC10,1539,OUT045
FDY16,2848,OUT049
FDJ20,1865,OUT035
FDV43,830,OUT035
FDZ32,2950,OUT027
FDR23,2915,OUT046
FDN24,760,OUT035
FDE34,4531,OUT027
FDU31,3913,OUT013
FDW33,1386,OUT018
FDU26,1623,OUT046
FDE20,4736,OUT027
NCW05,2436,OUT035
FDB22,2577,OUT018
FDO56,1528,OUT046
FDA19,2951,OUT027
DRI39,717,OUT045
FDH52,473,OUT018
FDZ50,2944,OUT035
NCN42,3200,OUT035
FDB53,2778,OUT013
DRG11,1553,OUT017
DRK11,4457,OUT027
FDQ60,1908,OUT017
FDT36,757,OUT017
DRG25,2555,OUT018
DRJ23,2423,OUT046
FDG05,2687,OUT035
NCK06,1667,OUT018
FDU52,2754,OUT017
FDW07,1472,OUT018
NCM17,657,OUT045
FDA22,3478,OUT045
NCA41,2432,OUT018
FDF38,724,OUT035
FDH52,641,OUT046
FDY58,631,OUT019
FDZ16,2841,OUT045
NCM18,932,OUT017
FDA22,2927,OUT018
NCJ43,2711,OUT035
FDI34,5947,OUT027
FDG56,778,OUT046
FDS34,1637,OUT046
DRC01,802,OUT035
FDQ04,683,OUT035
FDK04,576,OUT035
FDT51,1515,OUT049
FDV26,3161,OUT017
FDS04,2590,OUT049
FDW43,3274,OUT018
FDQ28,447,OUT010
NCK06,1772,OUT017
FDS23,2011,OUT018
FDZ36,444,OUT019
FDE56,634,OUT018
FDW10,4531,OUT027
NCN14,2610,OUT045
NCQ18,1753,OUT045
FDW08,1811,OUT017
FDU43,4074,OUT035
FDR33,288,OUT010
FDM24,214,OUT010
NCZ05,1758,OUT046
NCV41,1770,OUT035
FDV11,2434,OUT018
NCY05,1015,OUT035
FDV44,2489,OUT018
FDW32,1528,OUT049
NCU18,4524,OUT027
NCC43,3590,OUT035
FDW19,1696,OUT013
FDN31,2935,OUT035
FDI48,493,OUT045
FDS24,1377,OUT017
FDF46,1579,OUT049
DRG23,2525,OUT017
FDG14,2502,OUT018
NCY30,3097,OUT049
FDO28,1469,OUT018
DRD24,2811,OUT035
FDI33,1678,OUT049
FDN32,2681,OUT046
FDR16,4598,OUT045
FDF26,3070,OUT046
NCN29,482,OUT018
FDE20,2845,OUT045
FDA46,2856,OUT046
FDU28,2611,OUT045
FDQ48,1359,OUT045
FDV36,1605,OUT013
FDR14,281,OUT018
FDP23,3814,OUT017
FDP56,530,OUT013
FDK48,46,OUT010
FDR48,2554,OUT046
NCY29,854,OUT049
FDM22,629,OUT018
DRJ01,2430,OUT013
FDZ43,3792,OUT045
FDV03,2840,OUT035
FDX11,4509,OUT027
NCA41,4338,OUT027
FDE38,2531,OUT017
FDI27,745,OUT018
FDN32,2803,OUT013
NCN43,1743,OUT017
FDB47,5925,OUT027
FDV03,2804,OUT017
NCN30,1617,OUT045
NCV54,314,OUT010
FDV07,1684,OUT013
FDP07,2753,OUT049
FDK48,1454,OUT018
FDM15,471,OUT019
FDY19,2951,OUT027
FDK46,3724,OUT046
FDY11,735,OUT045
FDH09,1218,OUT046
FDO08,4736,OUT027
FDU14,3750,OUT013
FDD22,2853,OUT027
FDM27,2920,OUT017
FDL02,2731,OUT027
NCA17,2721,OUT035
FDE38,411,OUT019
NCG07,3073,OUT049
DRC27,3940,OUT013
FDA27,3964,OUT035
FDW40,2690,OUT045
DRI11,1760,OUT013
FDN50,1629,OUT046
FDR12,2807,OUT046
FDT34,2853,OUT027
FDW11,947,OUT035
NCO30,4524,OUT027
FDZ34,4486,OUT017
FDU45,1921,OUT017
NCD42,956,OUT035
FDX25,2689,OUT045
NCR29,971,OUT046
FDX43,398,OUT019
